year,sector,consumption_ktoe,output,consumption_per_unit_output,consumption_index_2000_100,output_index_2000_100,intensity_index_2000_100,consumption_missing,output_missing,intensity_missing,uk_eedi05_index,efficiency_proxy
2015,"Iron, steel, non-ferrous metals",2015.0,1989.68,107.8,18.45714285714286,57.79467680608366,92.37360754070264,False,False,False,100.84190832553787,0.00927643784786642
2016,"Iron, steel, non-ferrous metals",2016.0,1641.38,109.9,14.935213830755233,47.677529359479706,94.17309340188518,False,False,False,102.80636108512631,0.009099181073703366
2017,"Iron, steel, non-ferrous metals",2017.0,1581.29,107.2,14.750839552238803,45.932081785358456,91.85946872322194,False,False,False,100.28063610851265,0.009328358208955223
2018,"Iron, steel, non-ferrous metals",2018.0,1556.77,107.5,14.481581395348837,45.21984390022861,92.11653813196229,False,False,False,100.56127221702526,0.009302325581395349
2019,"Iron, steel, non-ferrous metals",2019.0,1627.42,103.6,15.70868725868726,47.27203013939762,88.77463581833761,False,False,False,96.9130028063611,0.009652509652509652
2020,"Iron, steel, non-ferrous metals",2020.0,1680.0400000000002,113.1,14.854465075154732,48.80049496466406,96.91516709511568,False,False,False,105.79981290926102,0.008841732979664015
2021,"Iron, steel, non-ferrous metals",2021.0,1719.2500000000002,106.0,16.219339622641513,49.93943654198632,90.8311910882605,False,False,False,99.15809167446213,0.009433962264150943
2022,"Iron, steel, non-ferrous metals",2022.0,1698.75,100.0,16.9875,49.3439684895735,85.68980291345329,False,False,False,93.54536950420955,0.01
2023,"Iron, steel, non-ferrous metals",2023.0,1649.71,103.4,15.954642166344293,47.91949271931379,88.60325621251071,False,False,False,96.7259120673527,0.00967117988394584
2024,"Iron, steel, non-ferrous metals",2024.0,1483.14,106.0,13.99188679245283,43.081096939294206,90.8311910882605,False,False,False,99.15809167446213,0.009433962264150943
