DATAFLOW,LAST UPDATE,freq,nrg_bal,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,EU27_2020,2015,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,EU27_2020,2016,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,EU27_2020,2017,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,EU27_2020,2018,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,EU27_2020,2019,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,EU27_2020,2020,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,EU27_2020,2021,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,EU27_2020,2022,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,EU27_2020,2023,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,EU27_2020,2024,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,FI,2005,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,FI,2006,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,FI,2007,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,FI,2008,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,FI,2009,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,FI,2010,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,FI,2011,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,FI,2012,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,FI,2013,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,FI,2014,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,FI,2015,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,FI,2016,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,FI,2017,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,FI,2018,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,FI,2019,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,FI,2020,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,FI,2021,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,FI,2022,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,FI,2023,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,FI,2024,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,FR,2005,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,FR,2006,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,FR,2007,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,FR,2008,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,FR,2009,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,FR,2010,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,FR,2011,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,FR,2012,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,FR,2013,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,FR,2014,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,FR,2015,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,FR,2016,,m,
